article_name,cleaned,quantity,final_brand,class1,class2,type,cleaned_more,get_cleaned
bingo wfr yumitos premium salted pp 55g,bingo wfr yumitos salted pp ,55g,premium,chips namkeens snacks,branded food,,bingo wfr yumito alted pp ,['bingo']
catch readymix jaljira bx 100g, readymix jaljira bx ,100g,catch,masala spices,grocery,, readymix jaljira bx ,[]
rambandhu readymix chivada masala 100g,rambandhu readymix chivada ,100g,,masala spices,grocery,,rambandhu readymix chivada ,[]
gk prsnl rplnt patches bx 14p,gk prsnl rplnt patches bx ,14p,godrej,freshners repellents,home hygiene,,gk prnl rplnt patche bx ,[]
savlon soap glycerin gentle mos 3*75g, soap glycerin gentle mos ,3*75g,savlon,skin care,beauty personal care,type: soap type: glycerin, gentle mos ,"['gentle', 'mos']"
yogabar choco brownie bar 60g, choco brownie ,60g,yoga bar,chocolates cakes confectioneries,branded food,flavor: choco, brownie ,['brownie']
yogabar choco nuts&seed crunch bar 38g, choco nuts&seed crunch ,38g,yoga bar,chocolates cakes confectioneries,branded food,flavor: choco, nuts&seed crunch ,['crunch']
maggi free bowl, free bowl,,maggi,noodles pastas vermicelli,branded food,, free bowl,"['free', 'bowl']"
sugar free green stevia leaf bt 100g, green stevia leaf bt ,100g,sugar free,salt sugar jaggery,grocery,flavor: leaf flavor: stevia color: green, bt ,[]
yogabar chocolate chunk box228gm,yogabar chunk boxm,228g,chocolate,chocolates cakes confectioneries,branded food,,yogabar chunk boxm,['chunk']
maggi ndl chicken cuppa mania cp 67g, ndl chicken cuppa mania cp ,67g,maggi,noodles pastas vermicelli,branded food,flavor: chicken, ndl cuppa mania cp ,"['cuppa', 'mania']"
mother dry dahi 400g, dry dahi ,400g,mother dairy,chocolates cakes confectioneries,branded food,flavor: dahi, dry ,['dry']
mother dairy ice crm rose kulfi bx 60ml, crm rose kulfi bx ,60ml,mother dairy,ice cream desserts,branded food,flavor: kulfi, crm rose bx ,['rose']
kw pp chocolate xcess 900ml,kw pp xcess ,900ml,chocolate,chocolates cakes confectioneries,branded food,,kw pp xce ,[]
kwality icecrm carte dor fruit&nut 750ml,kwality icecrm carte dor &nut ,750ml,fruit,chocolates cakes confectioneries,branded food,,kwality icecrm carte dor &nut ,"['carte', 'dor']"
kara face wipes mosit almn hny 10p, face wipes mosit almn hny ,10p,kara,skin care,beauty personal care,, face wipe moit almn hny ,"['face', 'wipe']"
mr white det pow 2x active power pp 5kg,mr white det pow 2x active power pp ,5kg,mr.white,home cleaning,home hygiene,color: white,mr det pow 2x active power pp ,"['det', 'pow', 'active', 'power']"
imported twinings strawberry & raspberry green tea 20pcs,imported strawberry & raspberry green ,20pcs,twinings,tea coffee,beverages,flavor: raspberry color: green flavor: strawberry,imported & ,['imported']
falero candy wah wah guava 160g, candy wah wah guava ,160g,falero,soft drinks,beverages,flavor: guava flavor: candy, wah wah ,"['wah', 'wah']"
real activ fiber multi fruit juice 1l, fiber multi juice ,1l,real activ,fruit juices drinks,beverages,flavor: juice, fiber multi ,['multi']
exo green zucchini, green zucchini,,exo,tea coffee,beverages,flavor: zucchini color: green, ,[]
thai brnjl pvrg wte, brnjl pvrg wte,,real thai,sauces puree dips,branded food,, brnjl pvrg wte,[]
tori,tori,,orbit,chocolates cakes confectioneries,branded food,,tori,[]
chilli pakora,chilli pakora,,hello panda,biscuits cookies crackers,branded food,flavor: pakora flavor: chilli, ,[]
banana robusta,baa robusta,,baskin robbins,frozen veg,branded food,,baa robuta,['baa']
capsicum green,capsicum ,,dhampur green,tea coffee,beverages,flavor: capsicum, ,[]
zucchini green,zucchini ,,green brrew,tea coffee,beverages,flavor: zucchini, ,[]
chk kabab,chk kabab,,chabaa,chocolates cakes confectioneries,branded food,flavor: kabab,chk ,[]
arla processed cheese triangles 140g, processed cheese triangles ,140g,arla,chips namkeens snacks,branded food,flavor: cheese, processed triangles ,"['processed', 'triangles']"
huggies baby diaper wonder pants xl 54p, diaper wonder pants xl ,54p,huggies,baby care,baby care,type: diaper type: pants, wonder xl ,['wonder']
jacobsens cookies dark choco&orange 150g, cookies dark choco&orange ,150g,jacobsens,chocolates cakes confectioneries,branded food,color: dark flavor: cookies, choco&orange ,[]
all out all nght mos & fly spray bt 15m, nght mos & fly spray bt 15m,,all out,freshners repellents,home hygiene,, nght mo & fly pray bt 15m,"['fly', 'pray']"
dettol soap gold daily clean 125g, soap gold daily clean ,125g,dettol,skin care,beauty personal care,type: soap color: clean, gold daily ,"['gold', 'daily']"
moshes bread original lavash 100gm,moshes bread original lavash m,100g,,health drinks,beverages,flavor: bread flavor: lavash,moshes original m,['original']
zhakhaas rice chips red chilly pp 100g,zhakhaas rice chips chilly pp ,100g,red bull,frozen veg,branded food,flavor: rice,zhakhaas chips chilly pp ,"['chips', 'chilly']"
anandham sesame oil pp 1l,anandham sesame pp ,1l,gopaljee ananda,edible oil ghee,grocery,flavor: sesame,anandham pp ,[]
arohi veg fryum soyawadi 200g, veg fryum soyawadi ,200g,arohi,toys,toys stationery,flavor: veg, fryum soyawadi ,[]
knorr soup chicken delite pp 10g, soup chicken delite pp ,10g,knorr,ready to eat,branded food,flavor: chicken flavor: soup, delite pp ,[]
ghpr rajma sharmli pp 500g,ghpr rajma sharmli pp ,500g,,toys,toys stationery,flavor: rajma,ghpr sharmli pp ,[]
rasna mixed fruit fruit concentrate 500g, mixed concentrate ,500g,rasna,fruit juices drinks,beverages,, mixed concentrate ,"['mixed', 'concentrate']"
rasna kool lime fruit concentrate 750g, kool lime fruit concentrate ,750g,rasna,fun drink mix,beverages,flavor: lime flavor: fruit, kool concentrate ,['concentrate']
rasna orange + lemon + mango + pineapple 4*125g, orange + lemon + mango + pineapple ,4*125g,rasna,fun drink mix,beverages,flavor: pineapple flavor: lemon flavor: mango flavor: orange color: orange, + + + ,[]
pediasure hltdrnk prem chocolate bx 1kg, hltdrnk prem chocolate bx ,1kg,pediasure,health drinks,beverages,type: chocolate flavor: chocolate, hltdrnk prem bx ,['prem']
chings soup tomato 55g,chings soup ma ,55g,,ready to eat,branded food,flavor: soup,chings ma ,[]
chings oth mix hakka noodles masala 50g,chings oth mix hakka masala ,50g,,noodles pastas vermicelli,branded food,,ching oth mix hakka maala ,"['ching', 'oth', 'mix']"
tang orange 125g, orange ,125g,tang,fun drink mix,beverages,flavor: orange color: orange, ,[]
nilgiris millet granolabar honey & cardamom 40g, millet granolabar honey & cardamom ,40g,nilgiris,chocolates cakes confectioneries,branded food,flavor: cardamom flavor: honey type: honey flavor: millet, granolabar & ,[]
taaza ctc tea 250g,taaza ctc ,250g,tata tea,tea coffee,beverages,,taaza ctc ,['ctc']
harpic toil cln power plus orange bt 1l, toil cln power plus orange bt ,1l,harpic,home cleaning,home hygiene,flavor: orange color: orange, toil cln power plus bt ,"['toil', 'power', 'plus']"
sofit soya milk natural 200ml, soya milk natural ,200ml,sofit,mineral water soda,beverages,flavor: soya flavor: milk, natural ,['natural']
yummiez chick sausage plain 250g, chick sausage plain ,250g,yummiez,frozen veg,branded food,flavor: sausage, chick plain ,"['chick', 'plain']"
yummiez chicken nuggets sf&jucy pp 750g, chicken nuggets sf&jucy pp ,750g,yummiez,ready to eat,branded food,flavor: chicken, nuggets sf&jucy pp ,['nuggets']
dr kansals herbal eggs odourles pkof 6,dr herbal eggs odourles pkof 6,,dr. kansals,hair care,beauty personal care,type: herbal flavor: eggs,dr odourles pkof 6,[]
fevicol shoe fix-sm 20 ml, shoe fix-sm ,20 ml,fevicol,stationery,toys stationery,type: shoe, fix-sm ,[]
vaseline cosmectic lipguard 10g, cosmectic lipguard ,10g,vaseline,skin care,beauty personal care,, comectic lipguard ,[]
tinkle lemon candy jar 100g, lemon candy jar ,100g,tinkle,fun drink mix,beverages,flavor: lemon flavor: candy, jar ,['jar']
clmt toil clnr flush tablet blue 50g, toil clnr flush tablet blue ,50g,clmt,toys,toys stationery,color: blue, toil clnr flush tablet ,"['toil', 'flush', 'tablet']"
clmt scrub asrtd colr spng sourer 6p, scrub asrtd colr spng sourer ,6p,clmt,toys,toys stationery,, crub artd colr png ourer ,['png']
clmt toilet cleaner orange 3*500ml, toilet cleaner orange ,3*500ml,clmt,home cleaning,home hygiene,flavor: orange color: orange type: toilet, cleaner ,['cleaner']
clmt toilet cleaner 500m, toilet cleaner 500m,,clmt,home cleaning,home hygiene,type: toilet, cleaner 500m,['cleaner']
sure free spirit dry shield deodorant 25 ml, free spirit dry shield deodorant ,25 ml,sure,deos perfumes,beauty personal care,type: deodorant, free spirit dry shield ,"['free', 'spirit', 'dry', 'shield']"
nandos sauce hot peri peri bt 250ml, sauce hot peri peri bt ,250ml,nandos,sauces puree dips,branded food,flavor: sauce color: hot, peri peri bt ,"['peri', 'peri']"
catch who spice hing bt 10g, who spice hing bt ,10g,catch,masala spices,grocery,, who pice hing bt ,[]
catch pow spice garam masala bx 100g, pow spice garam bx ,100g,catch,masala spices,grocery,, pow pice garam bx ,"['pow', 'garam']"
catch readymix chat bt 100g, readymix chat bt ,100g,catch,masala spices,grocery,, readymix chat bt ,['chat']
crmt tissu pocket 20*21 3 ply 6*10p,crmt tissu ocket 20* ly 6*10,21 3 p,,toys,toys stationery,,crmt tiu ocket 20* ly 6*10,[]
crmt hw lemon 2+1 pp 180ml,crmt hw lemon 180ml,2+1 pp,,otc,beauty personal care,flavor: lemon,crmt hw 180ml,[]
disney crmt tissue soft facial 100p, crmt tissue soft facial ,100p,tastytreat disney,stationery,toys stationery,, crmt tiue oft facial ,"['oft', 'facial']"
vegit oth mix aloo hara bara kebab 120g, oth mix aloo hara bara kebab ,120g,vegit,frozen veg,branded food,flavor: aloo, oth mix hara bara kebab ,"['oth', 'mix', 'bara', 'kebab']"
pooof kettle cps thai swt chilli pp 65g,pooof kettle cps thai swt chilli pp ,65g,pooof!,sauces puree dips,branded food,flavor: chilli,pooof kettle cps thai swt pp ,"['kettle', 'cps', 'thai']"
hr peanut patti 200g,hr peanut patti ,200g,,jams spreads honey,branded food,flavor: peanut,hr patti ,['patti']
nature choice dry fruit mix jar 200g,nature choice dry jar ,200g,fruit,fun drink mix,beverages,,nature choice dry jar ,"['nature', 'choice', 'dry', 'jar']"
britannia cheese milkman lf sl slmz 200g, cheese milkman lf sl slmz ,200g,britannia,biscuits cookies crackers,branded food,flavor: cheese, milkman lf sl slmz ,['milkman']
mother earth red chilli whole 100g, red chilli whole ,100g,mother earth,masala spices,grocery,flavor: chilli color: red, whole ,['whole']
tiger glucose biscuit, glucose biscuit,,cambay tiger,chocolates cakes confectioneries,branded food,, glucoe bicuit,[]
natures choice dried figs anjeer tb 400g,natures dried figs anjeer tb ,400g,easy choice,freshners repellents,home hygiene,flavor: figs,natures dried anjeer tb ,"['natures', 'dried']"
britannia cookies nutri choice ragi 150g, nutri choice ragi ,150g,britannia,biscuits cookies crackers,branded food,type: nutri flavor: ragi, choice ,['choice']
sunsilk long and healthy growth shampoo 80 ml, long and healthy growth shampoo ,80 ml,sunsilk,hair care,beauty personal care,type: shampoo, long and healthy growth ,"['long', 'healthy', 'growth']"
maggi gravymix chicken cube 40g, gravymix chicken cube ,40g,maggi,noodles pastas vermicelli,branded food,flavor: chicken, gravymix cube ,['cube']
yogabar choco varity pack 6p 360g,yogabar choco varity pack 360g,6p,,chocolates cakes confectioneries,branded food,flavor: choco,yogabar varity pack 360g,['pack']
paseo elegnt tolt 220 2ply 6 rol tulip, elegnt tolt ly 6 rol tulip,220 2p,paseo,toys,toys stationery,flavor: tulip, elegnt tolt ly 6 rol ,[]
del monte peach colada fruit drink 240ml, peach colada drink ,240ml,del monte,fruit juices drinks,beverages,flavor: peach flavor: colada, drink ,['drink']
del monte green apple fruit drink 240ml, green apple drink ,240ml,del monte,fruit juices drinks,beverages,flavor: apple color: green, drink ,['drink']
lovely bakery desi ghee atta cookies, desi ghee atta cookies,,lovely bakery,chocolates cakes confectioneries,branded food,flavor: ghee flavor: cookies, desi atta ,"['desi', 'atta']"
tresemme split remedy conditioner 80 ml, split remedy conditioner ,80 ml,tresemme,hair care,beauty personal care,type: conditioner, split remedy ,"['split', 'remedy']"
sofresh cupcake red vel ches frs, cupcake red vel ches frs,,sofresh,otc,beauty personal care,color: red, cupcake vel ches frs,"['ches', 'frs']"
olicoop can food green plain olive 450g, can food green plain olive ,450g,olicoop,edible oil ghee,grocery,flavor: olive color: green color: olive, can food plain ,"['food', 'plain']"
tata coffee grand 50g, grand ,50g,tata,tea coffee,beverages,, grand ,['grand']
vim drop dw lemon gel cn 1.5l, drop dw lemon gel cn ,1.5l,vim,utensil cleaners,home hygiene,flavor: lemon type: gel, drop dw cn ,['drop']
boroplus fw anti polu grape&grn tea 50ml, fw anti polu grape&grn ,50ml,boroplus,tea coffee,beverages,, fw anti polu grape&grn ,['anti']
garden mini bhakarwadi namkeen 160g, mini bhakarwadi namkeen ,160g,garden,chips namkeens snacks,branded food,flavor: namkeen, mini bhakarwadi ,['mini']
scotch bri utensil srb scrb 4*5.5, bri utensil srb scrb 4*5.5,,3m scotch,stationery,toys stationery,, bri utenil rb crb 4*5.5,['bri']
scotch bri utensl srb hvy dut3*3, bri utensl srb hvy dut3*3,,3m scotch,stationery,toys stationery,, bri utenl rb hvy dut3*3,['bri']
scotch bri utensl srb 2 in 1 big, bri utensl srb 2 in ,1 big,3m scotch,stationery,toys stationery,, bri utenl rb 2 in ,['bri']
"brown & polson vanilla custard powder, 100g"," vanilla custard powder, ",100g,brown & polson,baking dessert mixes,branded food,flavor: custard flavor: vanilla," powder, ",[]
palmolive shower gel thermal spa 250ml, shower gel thermal spa ,250ml,palmolive,skin care,beauty personal care,type: spa type: shower type: gel, thermal ,['thermal']
clear complete active care anti dandruff shampoo 170 ml, complete active anti dandruff shampoo ,170 ml,clear,hair care,beauty personal care,type: shampoo, complete active anti dandruff ,"['complete', 'active', 'anti', 'dandruff']"
temper eye linear grey 4 ml, eye linear grey ,4 ml,temper,stationery,toys stationery,, eye linear grey ,"['eye', 'linear', 'grey']"
"lakme 9 to 5 primer + matte lip color, lc r1 red coat, 3.6 g"," 9 to rimer + matte li color, lc r1 red coat, 3.6 g",5 p,lakme,skin care,beauty personal care,color: matte color: red," 9 to rimer + li color, lc r1 coat, 3.6 g",['3.6']
mawana demerara sugar bx 500g, demerara bx ,500g,mawana,salt sugar jaggery,grocery,flavor: demerara, bx ,[]
unibic cookie asrtd pk of 6 419g, cookie asrtd pk of ,6 419g,unibic,biscuits cookies crackers,branded food,, cookie artd pk of ,['cookie']
unibic orange milk 1+1 pp 100g op, orange milk 100g op,1+1 pp,unibic,biscuits cookies crackers,branded food,flavor: orange color: orange flavor: milk, 100g op,[]
189 brushtile soft,18 htile soft,9 brus,3m scotch-brite,stationery,toys stationery,,18 htile oft,['oft']
sunfest drk fntasy clt + vnl 2*100g,sunfest drk fntasy clt + vnl ,2*100g,,toys,toys stationery,,unfet drk fntay clt + vnl ,[]
sunfeast moms magic nut&raisins bx 60g, moms magic nut&raisins bx ,60g,sunfeast,biscuits cookies crackers,branded food,, mom magic nut&raiin bx ,"['mom', 'magic']"
941 c.kitchen moppy,941 c. moppy,,sangi s kitchen,toys,toys stationery,,941 c. moppy,['941']
koka ndl spicy sesame flavour pp 85g, ndl spicy sesame flavour pp ,85g,koka,noodles pastas vermicelli,branded food,flavor: sesame flavor: spicy, ndl flavour pp ,['flavour']
alpen liebe jj chapata bottles pp 72.8g,alpen liebe jj chapata bottles pp ,72.8g,,toys,toys stationery,,alpen liebe jj chapata bottle pp ,['bottle']
surf det pow excel matic top load 1kg, det pow matic top load ,1kg,surf excel,laundry,home hygiene,, det pow matic top load ,"['det', 'pow', 'matic', 'top', 'load']"
"chings secret paneer chilli miracle masala, 20g"," ecret paneer chilli miracle maala, ",20g,ching s secret,masala spices,grocery,flavor: paneer flavor: chilli," ecret miracle maala, ",['miracle']
mamy poko pants baby diaper xl 40p 42p,mamy poko pants diaper xl 42p,40p,baby,baby care,baby care,type: diaper type: pants,mamy poko xl 42p,[]
rasna utsav mango powder concentrate 12 glasses, utsav mango powder concentrate asses,12 gl,rasna,masala spices,grocery,flavor: mango, utsav powder concentrate asses,"['powder', 'concentrate', 'asses']"
rasna utsav orange fruit concentrate 12 glasses, utsav orange concentrate asses,12 gl,rasna,fruit juices drinks,beverages,flavor: orange color: orange, utsav concentrate asses,"['concentrate', 'asses']"
chk keema,chk keema,,,chocolates cakes confectioneries,branded food,flavor: keema,chk ,[]
vanish stain rem shakti o2 240g, stain rem shakti o 40g,2 240g,vanish,freshners repellents,home hygiene,, tain rem hakti o 40g,"['tain', 'rem']"
