cleaned,quantity,final_brand,class1,class2
 rodeo chicken & liver flavour ,90g,pedigree,pet care,home hygiene
 babysoap moist ,75g,himalaya,otc,beauty personal care
 sauce english mustard bt ,300g,veeba,sauces puree dips,branded food
 tan rmvl peel mask orange ,100g,himalaya,skin care,beauty personal care
mcvities cashew pp ,100g,,biscuits cookies crackers,branded food
 lavas m,100 g,g bakers,oral care,beauty personal care
mcvities pistachio pp ,100g,,biscuits cookies crackers,branded food
 jamun juice ,1l,real,fruit juices drinks,beverages
 crm choc brwn dlgt ,500ml,london dairy,ice cream desserts,branded food
ever yuth face cln walnut & apricot ,200g,,skin care,beauty personal care
wafer biscuit strawberry waffy,,,biscuits cookies crackers,branded food
rite bite choco delite m.,40g,,breakfast cereals,branded food
 max prot choc slim bar ,67g,ritebite,breakfast cereals,branded food
 max protein namkeen cheese & jalapeno ,45g,ritebite,chips namkeens snacks,branded food
 namkeen pepper banana ,180g,mtr,chips namkeens snacks,branded food
 namkeen spicy thick sev ,180g,mtr,chips namkeens snacks,branded food
 kesar bath mix ,300g,mtr,ready to eat,branded food
garys barcake with egg,,chocolate,chocolates cakes confectioneries,branded food
 readymix chole ,100g,goldiee,toys,toys stationery
 wal cornetto mini disc ,6*45ml,kwality walls,ice cream desserts,branded food
 juice essential & vegie tetra pack ,1l,tropicana,fruit juices drinks,beverages
twinnings ctc cls assam ,25pcs,tata tea,tea coffee,beverages
 wipes nail polish remover strwb ,30p,kara,stationery,toys stationery
 magical spell body wash ,125 ml,lux,skin care,beauty personal care
 cleansing wipes lid pp ,80p,kara,baby care,baby care
 jelly bites curls ,80g,nilgiris,chocolates cakes confectioneries,branded food
 deo perfumed passion spray cn ,122ml,he,deos perfumes,beauty personal care
 rapes juice 1l,100% g,tropicana,fruit juices drinks,beverages
 pomegranate delight juice ,1l,tropicana,fruit juices drinks,beverages
 soap hpynotic rose bar bx ,75g,lux,skin care,beauty personal care
 green jasmine bag ,25pcs,dilmah,tea coffee,beverages
" milkmaid condensed milk can , ",400g,nestle,chocolates cakes confectioneries,branded food
 chezwan chutney ,200g,sangi s kitchen,otc,beauty personal care
 soap mild dew ,3*125g,fiama di wills,skin care,beauty personal care
nestle milkybar ,25g,chocolate,chocolates cakes confectioneries,branded food
 shower gel lemon&oil ,250ml,nivea,skin care,beauty personal care
 apple drink ,160ml,appy,soft drinks,beverages
 macaroni pasta ,500g,blue bird,noodles pastas vermicelli,branded food
 paprika bt ,35g,sangi s kitchen,toys,toys stationery
 parley bt ,7g,sangi s kitchen,toys,toys stationery
 ni namk gldn ma cri cro ,180g,chheda s,toys,toys stationery
 bread ,,sofresh,masala spices,grocery
 buns fruit,,sofresh,soft drinks,beverages
sofrsh vd ge muffin vanilla ,6p,galaxy,chocolates cakes confectioneries,branded food
 powder puff with case ,1p,puretta,baby care,baby care
chinee cabbage,,chef s basket,otc,beauty personal care
 active apple juice ,1l,real,fruit juices drinks,beverages
bottle gourd round,,,otc,beauty personal care
lettuce leaf,,gillette,men toiletries,beauty personal care
beetroot,,beeta,chocolates cakes confectioneries,branded food
 kachi ghani mustard bt ,1l,mahakosh,edible oil ghee,grocery
 pine apple drink ,240ml,del monte,fruit juices drinks,beverages
 tomato ketchup sauce ,500g,delmonte,sauces puree dips,branded food
 smooth & shine shampoo ,80 ml,tresemme,hair care,beauty personal care
 readymix haleem ,60g,shan,toys,toys stationery
 can veg grn sliced olives ,450g,del monte,canned tinned food,branded food
 can veg grn stf olv pmnto ,450g,del monte,canned tinned food,branded food
 sauce zingo chilli garlic ,320g,del monte,sauces puree dips,branded food
 gf hi fbr digestive cks pp ,200g,wheafree,chocolates cakes confectioneries,branded food
gh prime rajma kashmri pp ,500g,,frozen veg,branded food
 bb cream ,9g,fair & lovely,skin care,beauty personal care
 readymix kashmiri dum alu ,50g,suhana ,toys,toys stationery
 san pad choice wings xl ,7p,whisper,feminine care,beauty personal care
fun pesto verde pasta sauce ,190g,,sauces puree dips,branded food
 oregano burger,,la americana,jams spreads honey,branded food
nilons pineapple jam ,500g,,jams spreads honey,branded food
 almond biscotti ,150g,baker street,chocolates cakes confectioneries,branded food
 milk toast ,80g,baker street,chocolates cakes confectioneries,branded food
 chocolate cake ,30g,baker street,chocolates cakes confectioneries,branded food
 tpaste dant kanti advance ,100g,patanjali,otc,beauty personal care
 body cleanser rose kanti ,125g,patanjali,skin care,beauty personal care
 medium roast ,25g,cafe rio,tea coffee,beverages
nilons tomato pickle ,1kg,,pickles chutneys,branded food
nilons gongura pickle ,1kg,,pickles chutneys,branded food
nilons avakai pickle ,300g,,pickles chutneys,branded food
 dairy milk heroes ,18g,cadbury,chocolates cakes confectioneries,branded food
cadbury gems carton ,3*78g,chocolate,chocolates cakes confectioneries,branded food
cadbury dairy milk silk fruit & nut ,55g,chocolate,chocolates cakes confectioneries,branded food
 stuffed hot pepper green olive ,280g,borges,edible oil ghee,grocery
impact black current mints ,14g,sugar free,salt sugar jaggery,grocery
 herbed bruschetta ,100g,baker street,toys,toys stationery
orabian chickn tandori burger prty ,250g,zorabian,toys,toys stationery
 chicken kheema pp ,250g,zorabian,frozen veg,branded food
 shmp beer dmg free bt ,180ml,park avenue,deos perfumes,beauty personal care
vciks cough drops menthol pp ,20p,,otc,beauty personal care
 sunflower bt ,1l,patanjali,edible oil ghee,grocery
 shmp beer daily shine ,180ml,park avenue,hair care,beauty personal care
 choc hazelnut tub ,500ml,london dairy,ice cream desserts,branded food
 disposable astd snack pk,,zipouch,stationery,toys stationery
chana kabuli ,2 kg,,masala spices,grocery
 m sona masuri pp 1kg,24 l,brown & polson,rice wheat other grains,grocery
 basic cushion brush black 8581,,ts,cleaning accessories,home hygiene
 basic flat brush black 8543,,ts,cleaning accessories,home hygiene
 charcoal lemonade ,250 ml,raw pressery,chips namkeens snacks,branded food
kwcreamydlightchocolat1+1,700ml,,chocolates cakes confectioneries,branded food
kw n nut p cup ,100ml,fruit,chocolates cakes confectioneries,branded food
 wa cornetto choco vanilla ,115ml,kwality walls,ice cream desserts,branded food
 germ&stain blaster floral bt 750m,,harpic,home cleaning,home hygiene
imported revitalising lemon & ginger green ,20pcs,twinings,tea coffee,beverages
imported kie caramel chocolate ,311g,hershey s,chocolates cakes confectioneries,branded food
 marie biscuit ,250g,patanjali,biscuits cookies crackers,branded food
 namkeen ,80g,patanjali,biscuits cookies crackers,branded food
 cheeselings ,150g,parle,biscuits cookies crackers,branded food
 amla amrit ,65ml,patanjali,otc,beauty personal care
 ice tea lemon ,400g,nestea,soft drinks,beverages
solewholesmal,,,chocolates cakes confectioneries,branded food
 butter popcorn ,297g,american garden,jams spreads honey,branded food
 deo stick 3x energy tube ,40g,cinthol,deos perfumes,beauty personal care
 apple cider vinegar ,472ml,american garden,jams spreads honey,branded food
 pickle lemon ,400g,soul,pickles chutneys,branded food
 superlite sun oil pp ,1l,sundrop,skin care,beauty personal care
 ,1.2l,maaza,chocolates cakes confectioneries,branded food
 sc ttl effect nor spf 15 bx ,8g,olay,skin care,beauty personal care
 frz veg snck che crn nggt ,400g,yummiez,toys,toys stationery
 wheat puffs chiwda ,150g,diet foods,organic flours,grocery
 shmp bio green apple ,400ml,biotique,baby care,baby care
 papad assorted op,3*200g,bikano,ready to fry,branded food
malas crush,1l,three mango,fun drink mix,beverages
 white oat ,1kg,bagrry s,toys,toys stationery
 deo fresh power boost men cn ,150ml,nivea,deos perfumes,beauty personal care
 milk toned a+ tp ,1l,nestle,chocolates cakes confectioneries,branded food
 soap no erm protectn 3*25 op,1 g,godrej no.1,skin care,beauty personal care
 vanilla instant china grass mix ,100g,blue bird,baking dessert mixes,branded food
 strawberry custard powder ,100g,blue bird,baking dessert mixes,branded food
 strawberry jelly mix ,100g,blue bird,baking dessert mixes,branded food
 ndl laksa singapura flavour pp ,85g,koka,noodles pastas vermicelli,branded food
 tlt frsh lavendar meadows ,50g,odonil,freshners repellents,home hygiene
 room frs gel lavender musk ,75g,odonil,freshners repellents,home hygiene
 mango juice ,2l,tasty treat,fruit juices drinks,beverages
 pow spice chilli ,100g,mdh,masala spices,grocery
 pow spice dry mango ,100g,mdh,masala spices,grocery
" instant dahivada snack mix, ",200g,gits,baking dessert mixes,branded food
 strawberry ,13g,tic tac,chocolates cakes confectioneries,branded food
 paneer pp ,200g,verka,ready to eat,branded food
alpenleibe bottles ,72.8g,coca cola,soft drinks,beverages
 black pepper fried ,85g,koka,noodles pastas vermicelli,branded food
 namkin lassi,,verka,toys,toys stationery
gh sugarcrystal ,1kg,,chocolates cakes confectioneries,branded food
waghbakri leaf strong & refreshing ,250g,tata tea,tea coffee,beverages
gh chana mausami ,1kg,,chips namkeens snacks,branded food
 kesar badam box ,400g,horlicks,health drinks,beverages
 long grain rice pp ,5kg,elina,stationery,toys stationery
 pineapple candied fruit bitscuit ,100g,naturo,fun drink mix,beverages
 soya chnk+mini ranl 90g op,440g+g,nutrela,hair care,beauty personal care
 max ness multi expert face cream ,25 g,fair & lovely,skin care,beauty personal care
 ever fresh red hot el toothpaste ,40 g,closeup,oral care,beauty personal care
 yumm vge stix minty masala pp ,30g,too yumm!,frozen veg,branded food
 olive pure refined bt ,500ml,karmiq,edible oil ghee,grocery
 50,500ml,chocolate,chocolates cakes confectioneries,branded food
 nectar gift pack ,4*600ml,frooti,baby care,baby care
walkers banana split eclairs pp ,150g,,chocolates cakes confectioneries,branded food
 atlantic salmon portion m,300g,big sams,toys,toys stationery
 det bar ,75g,tide,laundry,home hygiene
 agarbatti lavender bx ,90g,pratha,pooja needs,home hygiene
 fcws ever white ,50ml,swiss tempelle,chocolates cakes confectioneries,branded food
 cheese four pepper tango ,180g,britannia,biscuits cookies crackers,branded food
 gd wonderfulls chc & nt pp ,30g,britannia,biscuits cookies crackers,branded food
 namkeen mumbaiya ,1kg,babaji,chips namkeens snacks,branded food
 pineapple powder concentrate ,100g,rasna,masala spices,grocery
cavins milk shake vanilla tp ,200ml,,health drinks,beverages
chings instant soup manchow pp ,15g,,ready to eat,branded food
lindt choco swiss dark ,300g,premium,chocolates cakes confectioneries,branded food
 choco swiss prem milk almond ,300g,lindt,chocolates cakes confectioneries,branded food
ambipure car fresh sky bp ,2ml,breeze,freshners repellents,home hygiene
 uttam ,750g,bikano,chips namkeens snacks,branded food
 butterscotch drop candy ,175g,cavendish & harvey,chocolates cakes confectioneries,branded food
cavendish mixed drop candy ,200g,fruit,chocolates cakes confectioneries,branded food
 cakemix vanilla bx ,225g,pillsbury,baking dessert mixes,branded food
 coconut water tp ,200ml,paper boat,fruit juices drinks,beverages
 basmati dubar ,1kg,india gate,organic grains,grocery
 buns burger,,english oven,otc,beauty personal care
 bread oat meal,,english oven,jams spreads honey,branded food
 tulsi ginger tea bag ,25g,organic india,salt sugar jaggery,grocery
dawat basmati jar ,1kg,brown & polson,rice wheat other grains,grocery
dove soap go fresh bx ,75g,revive,skin care,beauty personal care
 ni namk dalbiji ,200g,haldiram s,chips namkeens snacks,branded food
 & hsome sc advnc whtening tb ,30g,emami fair and handsome,toys,toys stationery
 tpaste senst tp ,40g,colgate,oral care,beauty personal care
kelloggs chocos moon & star wholegrain ,700g,,breakfast cereals,branded food
 navsari poha pp ,500g,ektaa,chocolates cakes confectioneries,branded food
monginis cake veg pp ,65g,chocolate,chocolates cakes confectioneries,branded food
 tbruh en pro relief 1p,360 s,colgate,oral care,beauty personal care
 tpaste herbal ,200g,colgate,oral care,beauty personal care
 namkeen gol kachauri bx ,350g,haldiram s,chips namkeens snacks,branded food
 cake fruit bar pp ,65g,monginis,chocolates cakes confectioneries,branded food
 sweet lime pickle ,200g,bedekar,pickles chutneys,branded food
 veg manchurian ,250g,handi,ready to eat,branded food
yummies italian sausages m,250g,godrej,skin care,beauty personal care
 rozana pp ,250gg,marvel,tea coffee,beverages
 toothpow lal dant manjan ,300g,dabur,otc,beauty personal care
 pickle lime chilli bt ,400g,bedekar,pickles chutneys,branded food
 pickle mango chili bt ,400g,bedekar,pickles chutneys,branded food
 candy mango bite 247. ,5 320g,parle,chocolates cakes confectioneries,branded food
 baygon spray fik ,425ml,all out,freshners repellents,home hygiene
mothers rec vegetable biryani mix ,75g,,baking dessert mixes,branded food
mothers recipe garlic chili papad ,200g,green brrew,pickles chutneys,branded food
 cumin seess jr ,100g,organic tattva,organic pulses,grocery
 groundnuts pp ,500g,organic tattva,organic pulses,grocery
org urad dal black pp ,500g,organic tattva,organic pulses,grocery
 jelly jems ,80g,nilgiris,chocolates cakes confectioneries,branded food
 tlt clnr lavender bowl block ,26g,harpic,home cleaning,home hygiene
 tab - strongmint ,7.4g,doublemint,chocolates cakes confectioneries,branded food
borb +choc +wfy 75g+18g,150g,,toys,toys stationery
 work out choco almond m,50g,ritebite,breakfast cereals,branded food
ttrt wafer biscuits op,3*75g,chocolate,chocolates cakes confectioneries,branded food
intl flvr milk orginal can ,240ml,nescafe,tea coffee,beverages
crmt nakin 27* ly 50 rnt,30 1 p,paper boat,fruit juices drinks,beverages
 tomato tangles ,90g,bingo,chips namkeens snacks,branded food
pagro green peas 1k,,frozen,frozen veg,branded food
 cottage cheese,,vfresh,jams spreads honey,branded food
 readymix seekh kebab ,50g,shan,toys,toys stationery
 garlic papad ,180g,ganesh,ready to fry,branded food
 can frt pineapple tidbits ,836g,del monte,canned tinned food,branded food
 atta wheat ,10kg,amar,flours sooji,grocery
 readymix sindhi biryani ,60g,shan,baking dessert mixes,branded food
 pickle mixed pp ,200g,pravin,pickles chutneys,branded food
 peach colada,,del monte,canned tinned food,branded food
 gluten free orange crm pp ,200g,wheafree,breakfast cereals,branded food
 shmp climate control bt ,190ml,tresemme,hair care,beauty personal care
 cond hr spa rejuvenation ,190ml,tresemme,hair care,beauty personal care
 readymix masala bx ,25g,everest,tea coffee,beverages
 pow spice garam bx ,100g,everest,masala spices,grocery
 readymix sabji bx ,50g,everest,masala spices,grocery
 sweet lassi mango ,200ml,mother dairy,pickles chutneys,branded food
 green peas pp ,200g,veg affaire,frozen veg,branded food
 frozen carrot peas mix ,200g,veg affaire,masala spices,grocery
 lassi sweetened tetra pack ,200ml,mother dairy,fruit juices drinks,beverages
 fusion litchi ,200ml,roohafza,soft drinks,beverages
 pista badam drink box,,complan,health drinks,beverages
mamy poko pants diaper l ,32p,baby,baby care,baby care
 ecret chezwan auce ,250g,ching s secret,noodles pastas vermicelli,branded food
 pants xxxl pp ,7p,mamypoko,baby care,baby care
 mango powder concentrate ,125g,rasna,masala spices,grocery
 utsav nimbupani powder concentrate asses,32 gl,rasna,masala spices,grocery
 shaving gel cool sensitive ,200ml,nivea,men toiletries,beauty personal care
nestle choco 79.2g,66g,milkybar,chocolates cakes confectioneries,branded food
secret tmptn deo te amo bt ,120ml,breeze,deos perfumes,beauty personal care
