cleaned,quantity,final_brand,class1,class2,type,cleaned_more,get_cleaned
 natural juice mango ,320ml,mogu mogu,fruit juices drinks,beverages,juice mango, natural ,['natural']
 soyabean jr ,15l,fortune,edible oil ghee,grocery,soyabean, jr ,[]
 smoothies vanilla ,200g,amul,ice cream desserts,branded food,vanilla smoothies, ,[]
 milk gold milky milk pp ,500ml,amul,ice cream desserts,branded food,milky milk, gold pp ,['gold']
gh daily pow dry ginger ,100g,old spice,freshners repellents,home hygiene,ginger,gh daily pow dry ,"['daily', 'pow', 'dry']"
gh daily tur dal std 1k,,,chocolates cakes confectioneries,branded food,tur dal,gh daily std 1k,"['daily', 'std']"
gh daily groundnut ,500g,london dairy,ice cream desserts,branded food,groundnut,gh daily ,['daily']
gh pow kashm chilli ,200g,old spice,freshners repellents,home hygiene,chilli,gh pow kashm ,['pow']
 talc navratana cool act deo ,100g,himani,deos perfumes,beauty personal care,, talc navratana cool act deo ,"['talc', 'cool', 'act', 'deo']"
 rollwrap chinese chow ,50g,knorr,ready to eat,branded food,, rollwrap chinese chow ,"['chinese', 'chow']"
 egg nutri pk of 6,,suguna,mineral water soda,beverages,egg, nutri pk of 6,[]
 yumm foxnuts tandoori pp ,23g,too yumm!,toys,toys stationery,tandoori, yumm foxnuts pp ,[]
 dal makhani ,300g,mtr,ready to eat,branded food,makhani dal, ,[]
 gls 60w,,philips,personal care appliances,beauty personal care,, gls 60w,['gls']
 wt date arabian black ,500g,nature s choice,otc,beauty personal care,black, wt date arabian ,"['date', 'arabian']"
 milk bikis cream biscuit ,100g,britannia,biscuits cookies crackers,branded food,cream milk, bikis biscuit ,['biscuit']
 chicken&cheese nuggets ,500g,venkys,toys,toys stationery,, chicken&cheese nuggets ,['nuggets']
 groundnut ,500g,mother earth,chips namkeens snacks,branded food,groundnut, ,[]
 dark raspberry ,80g,heidi,chocolates cakes confectioneries,branded food,raspberry dark, ,[]
 readymix pindi chana ,100g,roopak s,otc,beauty personal care,chana, readymix pindi ,[]
bslr fonzo frt fusn pet,250ml,bisleri,toys,toys stationery,,bslr fonzo frt fusn pet,['pet']
 det pow quickwash ,1kg,surf excel,laundry,home hygiene,, det pow quickwash ,"['det', 'pow']"
chings chinese ndl veg ,150g,,ready to eat,branded food,veg,chings chinese ndl ,['chinese']
cauliflower,,castello,chocolates cakes confectioneries,branded food,cauliflower,,[]
lindt dark caramel ,100g,chocolate,chocolates cakes confectioneries,branded food,dark caramel,lindt ,[]
mamy poko pants standard xl ,14p,,baby care,baby care,pants,mamy poko standard xl ,['standard']
 fusilli pasta ,500g,banchetto,noodles pastas vermicelli,branded food,fusilli pasta, ,[]
 utsav nimbu pani powder concentrate ,3*20g,rasna,masala spices,grocery,nimbu, utsav pani powder concentrate ,"['powder', 'concentrate']"
 pizza auce ,400g,sangi s kitchen,noodles pastas vermicelli,branded food,pizza, auce ,[]
fun arrabbiata pasta sauce ,325g,hr foods,sauces puree dips,branded food,sauce pasta arrabbiata,fun ,['fun']
 pasta & pizza sauce ,800g,funfoods,sauces puree dips,branded food,pizza sauce pasta, & ,[]
orea exce mini shade back,1 bl,l oreal paris,deos perfumes,beauty personal care,shade,orea exce mini back,"['mini', 'back']"
loreal cond exp total repair 5 175m,,hair & care,hair care,beauty personal care,,loreal cond exp total repair 5 175m,"['exp', 'total', 'repair']"
 expert protection um toothpaste ,70 g,pepsodent,oral care,beauty personal care,, expert protection um toothpaste ,"['expert', 'protection', 'toothpaste']"
 youth infinity firmin day creme ,50 g,lakme,skin care,beauty personal care,, youth infinity firmin day creme ,"['youth', 'infinity', 'firmin', 'day', 'creme']"
 khakhra mobile pani puri ,180g,jalaram food s,masala spices,grocery,puri, khakhra mobile pani ,['mobile']
 cheesy chipotle sauce ,100g,wingreens,sauces puree dips,branded food,chipotle sauce, cheesy ,['cheesy']
 sauce chinese secret tb ,100g,wingreens,sauces puree dips,branded food,sauce, chinese secret tb ,"['chinese', 'secret']"
 tmp hw cream moisturising bt 275m,,swiss tempelle,otc,beauty personal care,cream, tmp hw moisturising bt 275m,"['tmp', 'moisturising']"
bhpc deo 9 men ,175ml,ritter sport,deos perfumes,beauty personal care,,bhpc deo 9 men ,"['deo', 'men']"
 ext virgin lite bt ,2l,leonardo,edible oil ghee,grocery,, ext virgin lite bt ,"['ext', 'virgin', 'lite']"
 chocolate essence ,20ml,flying bird,masala spices,grocery,chocolate, essence ,['essence']
em cottan balls pack of ,30s,,home cleaning,home hygiene,,em cottan balls pack of ,"['balls', 'pack']"
 bread milk sandwich,,bonn,chocolates cakes confectioneries,branded food,bread sandwich milk, ,[]
 readymix bharwa sabji ,100g,ashok,masala spices,grocery,sabji, readymix bharwa ,[]
 pulse kachcha aam candy ,200g,pass pass,soft drinks,beverages,candy, pulse kachcha aam ,['pulse']
 pow spice red chilli flakes ,40g,keya,masala spices,grocery,chilli red, pow spice flakes ,"['pow', 'spice', 'flakes']"
gh double beans ,200g,red bull,soft drinks,beverages,beans,gh double ,['double']
 crm bis pure magic choco ,100g,britannia,biscuits cookies crackers,branded food,choco, crm bis pure magic ,"['bis', 'pure', 'magic']"
 cheese roasted garlic tub ,180g,britannia,biscuits cookies crackers,branded food,cheese garlic roasted, tub ,['tub']
maybl lip balm anti oxdant spf ,20 4g,baby,skin care,beauty personal care,,maybl lip balm anti oxdant spf ,"['lip', 'balm', 'anti', 'spf']"
 flavoured milk badam milk drink ,6*18ml,mtr,health drinks,beverages,milk badam, flavoured drink ,"['flavoured', 'drink']"
 namkeen seedai ,180g,mtr,ready to eat,branded food,namkeen, seedai ,[]
 deo sweet 125m,,eva,deos perfumes,beauty personal care,, deo sweet 125m,"['deo', 'sweet']"
ttrt nachos smoky bell pepper pp ,60g,,stationery,toys stationery,pepper,ttrt nachos smoky bell pp ,"['nachos', 'smoky', 'bell']"
ttrt pickle chilli ,1kg,green brrew,pickles chutneys,branded food,chilli pickle,ttrt ,[]
ttrt pista cookies pp ,60g,,chocolates cakes confectioneries,branded food,pista cookies,ttrt pp ,[]
 dry prunes ,100g,karmiq,fruit juices drinks,beverages,prunes, dry ,['dry']
 mango ,160ml,frooti,breakfast cereals,branded food,mango, ,[]
 squash lime ,700ml,kissan,jams spreads honey,branded food,lime squash, ,[]
 pop limonata drink ,250 ml,bisleri,fruit juices drinks,beverages,, pop limonata drink ,"['pop', 'drink']"
pampers pants smal ,24p,premium,baby care,baby care,pants,pampers smal ,['pampers']
 green bag jasmine box ,10pcs,karmiq,tea coffee,beverages,green bag jasmine, box ,['box']
 sauce tomato ,200g,kissan,sauces puree dips,branded food,sauce tomato, ,[]
 schezwan khari munchies ,150g,baker street,toys,toys stationery,, schezwan khari munchies ,['munchies']
 hide & seek crime strawberry sndwh ,100g,parle,biscuits cookies crackers,branded food,strawberry, hide & seek crime sndwh ,"['hide', 'seek', 'crime']"
 salted biscuit occasion assorted fusion gift pack ,700g,parle,biscuits cookies crackers,branded food,, salted biscuit occasion assorted fusion gift pack ,"['salted', 'biscuit', 'occasion', 'assorted', 'fusion', 'gift', 'pack']"
 tpaste dental crm junior ,100g,patanjali,otc,beauty personal care,, tpaste dental crm junior ,"['dental', 'junior']"
 multiflora ,250g,patanjali,jams spreads honey,branded food,multiflora, ,[]
nilons cut sewai ,400g,,noodles pastas vermicelli,branded food,,nilons cut sewai ,['cut']
nilons khana khazana chilli pickle ,500g,,pickles chutneys,branded food,chilli pickle,nilons khana khazana ,[]
 drink *10 pack,160ml,appy,fruit juices drinks,beverages,, drink *10 pack,"['drink', 'pack']"
 ice green mint & lemon flavour ,350ml,lipton,tea coffee,beverages,mint green lemon, ice & flavour ,"['ice', 'flavour']"
 ginger ale cn ,300ml,schweppes,jams spreads honey,branded food,ginger, ale cn ,['ale']
 clear green pure bag,,lipton,tea coffee,beverages,green bag, clear pure ,"['clear', 'pure']"
 yellow label ,250g,lipton,tea coffee,beverages,yellow, label ,['label']
 pow spice garam bx ,100g,eastern,masala spices,grocery,, pow spice garam bx ,"['pow', 'spice', 'garam']"
 readymix rajma bx ,50g,eastern,organic flours,grocery,rajma, readymix bx ,[]
kelloggs muesli extra nuts delight ,500g,,breakfast cereals,branded food,nuts muesli,kelloggs extra delight ,"['kelloggs', 'extra', 'delight']"
 co khaman dhokla mix ,200g,desi atta company,baking dessert mixes,branded food,dhokla, co khaman mix ,['mix']
 jowar sorghum pp ,500g,desi atta company,ready to eat,branded food,jowar sorghum, pp ,[]
aer freshner car cool surf bx ,10g,blue bird,freshners repellents,home hygiene,,aer freshner car cool surf bx ,"['aer', 'car', 'cool', 'surf']"
 tbrush slim soft charcoal ,1p,colgate,oral care,beauty personal care,, tbrush slim soft charcoal ,"['slim', 'soft', 'charcoal']"
 tbrush zigzag med,,colgate,oral care,beauty personal care,, tbrush zigzag med,"['zigzag', 'med']"
 toothbrush kids 2 years+,,colgate,oral care,beauty personal care,, toothbrush kids 2 years+,"['toothbrush', 'kids']"
 readymix kitchen king bx ,50g,badshah,toys,toys stationery,, readymix kitchen king bx ,"['kitchen', 'king']"
kelloggs crn flk rose badam bx ,120g,real,chocolates cakes confectioneries,branded food,badam,kelloggs crn flk rose bx ,"['kelloggs', 'rose']"
 fab cond shine&fregrance bt 200m,,comfort,otc,beauty personal care,, fab cond shine&fregrance bt 200m,['fab']
gh daily who cassia split ,50g,old spice,freshners repellents,home hygiene,cassia,gh daily who split ,"['daily', 'split']"
gh daily who mustard big ,200g,old spice,freshners repellents,home hygiene,mustard,gh daily who big ,"['daily', 'big']"
gh daily who anise seed ,100g,old spice,freshners repellents,home hygiene,seed anise,gh daily who ,['daily']
 lime pickle ,200g,bedekar,pickles chutneys,branded food,lime pickle, ,[]
 vanaspati pp ,500 ml,gagan,toys,toys stationery,vanaspati, pp ,[]
 aloevera juice ,1000 ml,kiwi,fruit juices drinks,beverages,juice, aloevera ,[]
 readymix meat bx ,100g,eastern,masala spices,grocery,meat, readymix bx ,[]
 mix fish ,50g,shan,ready to eat,branded food,fish, mix ,['mix']
 can veg grn pitted olives ,450g,del monte,pickles chutneys,branded food,veg olives, can grn pitted ,['pitted']
 perfume hydra energy 50m,,wild stone,deos perfumes,beauty personal care,, perfume hydra energy 50m,"['perfume', 'hydra', 'energy']"
 pow spice salad seasoning ,65g,keya,masala spices,grocery,salad seasoning, pow spice ,"['pow', 'spice']"
bournvita hltdrnk badam booster jr ,200g,,health drinks,beverages,badam,bournvita hltdrnk booster jr ,['booster']
 deo assorted 2+ 50ml,1 150ml,spinz,deos perfumes,beauty personal care,, deo assorted 2+ 50ml,"['deo', 'assorted']"
gh rice parmal standard ,1 kg,,flours sooji,grocery,rice,gh parmal standard ,['standard']
 ecdr single origin dark clt bx ,125g,amul,ice cream desserts,branded food,dark, ecdr single origin clt bx ,"['single', 'origin']"
 choc snack size ,32g,snickers,otc,beauty personal care,, choc snack size ,"['choc', 'snack', 'size']"
 mix puliyogare ,200g,mtr,ready to eat,branded food,, mix puliyogare ,['mix']
 pow spice turmeric ,100g,mtr,masala spices,grocery,turmeric, pow spice ,"['pow', 'spice']"
mums jam mix ,500g,fruit,jams spreads honey,branded food,,mums jam mix ,"['mums', 'jam', 'mix']"
 blues sea salt wafers ,141g,terra,chocolates cakes confectioneries,branded food,, blues sea salt wafers ,"['blues', 'sea', 'salt', 'wafers']"
 deo m erfume sray man 10ml,2 p,engage,deos perfumes,beauty personal care,, deo m erfume sray man 10ml,"['deo', 'man']"
 choco buttery spread tb ,200g,amul,ice cream desserts,branded food,buttery choco, spread tb ,['spread']
jeera goli mukhwas,,,masala spices,grocery,jeera, goli mukhwas,[]
 bsct bourbon pp ,60g,cremica,chocolates cakes confectioneries,branded food,, bsct bourbon pp ,['bourbon']
 cheese block ,200g,mother dairy,pickles chutneys,branded food,cheese, block ,['block']
 juice spicy pineapple bt ,300ml,tasty treat,fruit juices drinks,beverages,spicy juice pineapple, bt ,[]
 sour cream & onion potato crisps ,110g,jacker,chips namkeens snacks,branded food,cream potato onion, sour & crisps ,"['sour', 'crisps']"
- maida m,500 g,p mark,oral care,beauty personal care,maida,- m,[]
ttrt bourbon 4+ 20g op,1 120g,chocolate,chocolates cakes confectioneries,branded food,,ttrt bourbon 4+ 20g op,['bourbon']
 energy drink yellow edition ,250ml,red bull,fruit juices drinks,beverages,yellow, energy drink edition ,"['energy', 'drink', 'edition']"
 milk lait chocolate con leche ,100g,delaviuda,chocolates cakes confectioneries,branded food,chocolate leche milk, lait con ,['con']
 green bag classic box ,10pcs,karmiq,tea coffee,beverages,green bag, classic box ,"['classic', 'box']"
 sauce twist sweet&spicy squz ,450g,kissan,sauces puree dips,branded food,sauce, twist sweet&spicy squz ,['twist']
 choc swiss classic milk ,100g,lindt,chocolates cakes confectioneries,branded food,milk, choc swiss classic ,"['choc', 'swiss', 'classic']"
lion dates pp ,200g,fruit,dry fruits,grocery,,lion dates pp ,"['lion', 'dates']"
eden s poultry pack of 30,,mpm egg,toys,toys stationery,poultry,eden s pack of 30,"['eden', 'pack']"
 actv cow portions lgt ,120g,lactima,toys,toys stationery,, actv cow portions lgt ,"['cow', 'portions']"
abbies tuna chunks in brine tn ,185g,,canned tinned food,branded food,tuna,abbies chunks in brine tn ,"['chunks', 'brine']"
chings oats snacky singapore pp ,25g,,ready to eat,branded food,oats,chings snacky singapore pp ,['singapore']
 readymix kitchen king ,100g,mdh,masala spices,grocery,, readymix kitchen king ,"['kitchen', 'king']"
 who spice kasuri methi ,25g,mdh,masala spices,grocery,methi, who spice kasuri ,['spice']
 oats raisin cookies,,lovely bakery,breakfast cereals,branded food,oats cookies raisin, ,[]
" instant mix, rava idli, ",500g,pillsbury,baking dessert mixes,branded food,rava," instant mix, idli, ",['instant']
 tetly bag ,100pcs,tata tea,tea coffee,beverages,bag, tetly ,[]
 cheese stuffed green olives ,280g,borges,pickles chutneys,branded food,cheese green olives, stuffed ,['stuffed']
 soya granules bx ,200g,nutrela,rice wheat other grains,grocery,soya, granules bx ,['granules']
 rem shea butter & lily ,50g,veet,hair care,beauty personal care,butter lily, rem shea & ,"['rem', 'shea']"
horlicks jar ,500g,chocolate,health drinks,beverages,,horlicks jar ,"['horlicks', 'jar']"
crmt party disposable astd ,12p,,stationery,toys stationery,,crmt party disposable astd ,"['party', 'disposable']"
crmt toilet roll * y 4*200pull,10 2pl,,home cleaning,home hygiene,,crmt toilet roll * y 4*200pull,"['toilet', 'roll']"
crmt party disp fork crome 15cm ,10p,big sams,home cleaning,home hygiene,,crmt party disp fork crome 15cm ,"['party', 'fork', 'crome']"
crmt roll in y,1 2 pl,sangi s kitchen,toys,toys stationery,,crmt roll in y,['roll']
crmt handwash rose 180ml,2+1 pp,,personal hygiene,beauty personal care,,crmt handwash rose 180ml,['rose']
 ,1l,catch,mineral water soda,beverages,, ,[]
selum steak,,m-seal,stationery,toys stationery,steak,selum ,[]
rohu big,,bail kohlu,toys,toys stationery,rohu, big,['big']
l-kolam hmt standard rice,,,noodles pastas vermicelli,branded food,rice,l-kolam hmt standard ,['standard']
nilgiris millet granolabar dark ,40g,chocolate,chocolates cakes confectioneries,branded food,millet dark,nilgiris granolabar ,[]
 cranberry twirl juice ,1l,tropicana,fruit juices drinks,beverages,cranberry juice, twirl ,['twirl']
 sweet corn soup ,50g,bambino,ready to eat,branded food,soup corn, sweet ,['sweet']
 green with ginger bag ,25pcs,dilmah,tea coffee,beverages,green ginger bag, with ,[]
rozana papad urad punjabi mob pp ,200g,,ready to fry,branded food,urad papad,rozana punjabi mob pp ,"['punjabi', 'mob']"
pangush whole,,lever ayush,skin care,beauty personal care,,pangush whole,['whole']
hila whole,,walker s,otc,beauty personal care,,hila whole,"['hila', 'whole']"
tilapia fish whole,,,ready to eat,branded food,tilapia fish, whole,['whole']
heodon venami,,odonil,freshners repellents,home hygiene,,heodon venami,[]
rohu steak,,rostaa,toys,toys stationery,steak rohu, ,[]
chk whole wos,,head & shoulders,home cleaning,home hygiene,,chk whole wos,['whole']
chk giblet,,gillette,men toiletries,beauty personal care,giblet,chk ,[]
the freen snack cheese poly pack ,50g,peppy,toys,toys stationery,cheese,the freen snack poly pack ,"['snack', 'poly', 'pack']"
 bk icing cupcakes red velvet,,sofresh,otc,beauty personal care,cupcakes red velvet, bk icing ,['icing']
 g sauce bbq hickory ,510g,american garden,sauces puree dips,branded food,sauce, g bbq hickory ,['hickory']
 g sprd pnut btr crmy ,340g,american garden,jams spreads honey,branded food,, g sprd pnut btr crmy ,['btr']
 iced vetiver & fresh lavender perfume ,80 ml,axe signature gold,deos perfumes,beauty personal care,lavender vetiver, iced & fresh perfume ,"['iced', 'fresh', 'perfume']"
 french salad dressing ,250ml,remia,jams spreads honey,branded food,salad, french dressing ,"['french', 'dressing']"
 cheese parmesan ,85g,kraft,baking dessert mixes,branded food,cheese parmesan, ,[]
 fiber orange citrus juice ,1l,real activ,fruit juices drinks,beverages,orange citrus juice, fiber ,[]
